Posizione.monitoring.azioni.Selezione Colonne Da Visualizzare.Actual;POSIZIONE.MONITORING.AZIONI.SELEZIONE_COLONNE_DA_VISUALIZZARE.ACTUAL
Posizione.monitoring.azioni.Selezione Colonne Da Visualizzare.Gestore;POSIZIONE.MONITORING.AZIONI.SELEZIONE_COLONNE_DA_VISUALIZZARE.GESTORE
Posizione.monitoring.azioni.Selezione Colonne Da Visualizzare.Underwriting;POSIZIONE.MONITORING.AZIONI.SELEZIONE_COLONNE_DA_VISUALIZZARE.UNDERWRITING
Posizione.monitoring.elenco Cash flow.Cashflow actual;POSIZIONE.MONITORING.ELENCO_CASH_FLOW.CASHFLOW_ACTUAL
Posizione.monitoring.elenco Cash flow.Cashflow gestore;POSIZIONE.MONITORING.ELENCO_CASH_FLOW.CASHFLOW_GESTORE
Posizione.monitoring.elenco Cash flow.Cashflow underwriting;POSIZIONE.MONITORING.ELENCO_CASH_FLOW.CASHFLOW_UNDERWRITING
Posizione.monitoring.elenco Cash flow.titolo;POSIZIONE.MONITORING.ELENCO_CASH_FLOW.TITOLO
Posizione.monitoring.elenco.Fees;POSIZIONE.MONITORING.ELENCO.FEES
Posizione.monitoring.elenco.GBV;POSIZIONE.MONITORING.ELENCO.GBV
Posizione.monitoring.elenco.GDP;POSIZIONE.MONITORING.ELENCO.GDP
Posizione.monitoring.elenco.NDP ;POSIZIONE.MONITORING.ELENCO.NDP
Posizione.monitoring.elenco.Spese L&P;POSIZIONE.MONITORING.ELENCO.SPESE_L_P
Posizione.monitoring.elenco.sezione actual;POSIZIONE.MONITORING.ELENCO.SEZIONE_ACTUAL
Posizione.monitoring.elenco.Delta Fees;POSIZIONE.MONITORING.ELENCO.DELTA_FEES
Posizione.monitoring.elenco.Delta GDP;POSIZIONE.MONITORING.ELENCO.DELTA_GDP
Posizione.monitoring.elenco.Delta NDP;POSIZIONE.MONITORING.ELENCO.DELTA_NDP
Posizione.monitoring.elenco.Delta Spese L&P;POSIZIONE.MONITORING.ELENCO.DELTA_SPESE_L_P
Posizione.monitoring.elenco.sezione BP gestore;POSIZIONE.MONITORING.ELENCO.SEZIONE_BP_GESTORE
Posizione.monitoring.elenco.sezione BP Underwriting;POSIZIONE.MONITORING.ELENCO.SEZIONE_BP_UNDERWRITING
Posizione.monitoring.elenco.valuta;POSIZIONE.MONITORING.ELENCO.VALUTA
Posizione.monitoring.elenco.nessun dato;POSIZIONE.MONITORING.ELENCO.NESSUN_DATO
Posizione.Monitoring.Elenco.Nessuna colonna selezionata;POSIZIONE.MONITORING.ELENCO.NESSUNA_COLONNA_SELEZIONATA
Posizione.Movimenti.elenco.Nessun movimento;POSIZIONE.MOVIMENTI.ELENCO.NESSUN_MOVIMENTO
Posizione.movimenti.elenco.Codice Rapporto;POSIZIONE.MOVIMENTI.ELENCO.CODICE_RAPPORTO
Posizione.movimenti.elenco.Data Contabile;POSIZIONE.MOVIMENTI.ELENCO.DATA_CONTABILE
Posizione.movimenti.elenco.Importo;POSIZIONE.MOVIMENTI.ELENCO.IMPORTO
Posizione.movimenti.elenco.Tipo Movimento;POSIZIONE.MOVIMENTI.ELENCO.TIPO_MOVIMENTO
Posizione.movimenti.elenco.Tipo Rapporto;POSIZIONE.MOVIMENTI.ELENCO.TIPO_RAPPORTO
Posizione.movimenti.elenco.Data Valuta;POSIZIONE.MOVIMENTI.ELENCO.DATA_VALUTA
Posizione.movimenti.elenco.filtri.Codice Rapporto;POSIZIONE.MOVIMENTI.ELENCO.FILTRI.CODICE_RAPPORTO
Posizione.movimenti.elenco.filtri.Data Contabile;POSIZIONE.MOVIMENTI.ELENCO.FILTRI.DATA_CONTABILE
Posizione.movimenti.elenco.filtri.Data Valuta;POSIZIONE.MOVIMENTI.ELENCO.FILTRI.DATA_VALUTA
Posizione.movimenti.elenco.filtri.Importo;POSIZIONE.MOVIMENTI.ELENCO.FILTRI.IMPORTO
Posizione.movimenti.elenco.filtri.Tipo Movimento;POSIZIONE.MOVIMENTI.ELENCO.FILTRI.TIPO_MOVIMENTO
Posizione.movimenti.elenco.filtri.Tipo Rapporto;POSIZIONE.MOVIMENTI.ELENCO.FILTRI.TIPO_RAPPORTO
Posizione.dettagli.rapporti.azioni.Vedi garanzie collegate;POSIZIONE.DETTAGLI.RAPPORTI.AZIONI.VEDI_GARANZIE_COLLEGATE
Posizione.dettagli.rapporti.azioni.Vedi sofferenze rapporti;POSIZIONE.DETTAGLI.RAPPORTI.AZIONI.VEDI_SOFFERENZE_RAPPORTI
Posizione.dettagli.rapporti.azioni.Vedi dettagli rapporto;POSIZIONE.DETTAGLI.RAPPORTI.AZIONI.VEDI_DETTAGLI_RAPPORTO
Posizione.dettagli.rapporti.elenco.Codice Rapporto;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.CODICE_RAPPORTO
Posizione.dettagli.rapporti.elenco.Codice Rapporto Originario;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.CODICE_RAPPORTO_ORIGINARIO
Posizione.dettagli.rapporti.elenco.Data Apertura Rapporto;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.DATA_APERTURA_RAPPORTO
Posizione.dettagli.rapporti.elenco.Di cui capitale a Scadere;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.DI_CUI_CAPITALE_A_SCADERE
Posizione.dettagli.rapporti.elenco.Di Cui Mora;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.DI_CUI_MORA
Posizione.dettagli.rapporti.elenco.Di Cui Rateo Interessi Corrispettivi;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.DI_CUI_RATEO_INTERESSI_CORRISPETTIVI
Posizione.dettagli.rapporti.elenco.Di Cui Scaduto Impagato;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.DI_CUI_SCADUTO_IMPAGATO
Posizione.dettagli.rapporti.elenco.Di Cui Spese;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.DI_CUI_SPESE
Posizione.dettagli.rapporti.elenco.Flag Secured Unsecured;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FLAG_SECURED_UNSECURED
Posizione.dettagli.rapporti.elenco.GBV;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.GBV
Posizione.dettagli.rapporti.elenco.Importo Fido Accordato;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.IMPORTO_FIDO_ACCORDATO
Posizione.dettagli.rapporti.elenco.Codice di provenienza;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.CODICE_DI_PROVENIENZA
Posizione.dettagli.rapporti.elenco.Tipo Rapporto;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.TIPO_RAPPORTO
Posizione.dettagli.rapporti.elenco.Delibera associata;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.DELIBERA_ASSOCIATA
Posizione.dettagli.rapporti.elenco.filtri.Tutti;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.TUTTI
Posizione.dettagli.rapporti.elenco.filtri.Aperti;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.APERTI
Posizione.dettagli.rapporti.elenco.filtri.Chiusi;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.CHIUSI
Posizione.dettagli.rapporti.elenco.filtri.Codice Rapporto;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.CODICE_RAPPORTO
Posizione.dettagli.rapporti.elenco.filtri.Codice Rapporto Originario;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.CODICE_RAPPORTO_ORIGINARIO
Posizione.dettagli.rapporti.elenco.filtri.Data Apertura Rapporto;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.DATA_APERTURA_RAPPORTO
Posizione.dettagli.rapporti.elenco.filtri.Di Cui Capitale A scadere;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.DI_CUI_CAPITALE_A_SCADERE
Posizione.dettagli.rapporti.elenco.filtri.Di cui Mora;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.DI_CUI_MORA
Posizione.dettagli.rapporti.elenco.filtri.Di Cui Rateo Interessi Corrispettivi;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.DI_CUI_RATEO_INTERESSI_CORRISPETTIVI
Posizione.dettagli.rapporti.elenco.filtri.Di Cui Scaduto Impagato;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.DI_CUI_SCADUTO_IMPAGATO
Posizione.dettagli.rapporti.elenco.filtri.Di Cui Spese;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.DI_CUI_SPESE
Posizione.dettagli.rapporti.elenco.filtri.Flag secured unsecured;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.FLAG_SECURED_UNSECURED
Posizione.dettagli.rapporti.elenco.filtri.Garanzia collegata;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.GARANZIA_COLLEGATA
Posizione.dettagli.rapporti.elenco.filtri.GBV;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.GBV
Posizione.dettagli.rapporti.elenco.filtri.Importo Fido Accordato;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.IMPORTO_FIDO_ACCORDATO
Posizione.dettagli.rapporti.elenco.filtri.Codice di provenienza;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.CODICE_DI_PROVENIENZA
Posizione.dettagli.rapporti.elenco.filtri.Tipo Rapporto;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.TIPO_RAPPORTO
Posizione.dettagli.rapporti.elenco.filtri.Stato rapporto;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.FILTRI.STATO_RAPPORTO
Posizione.dettagli.rapporti.elenco.Data Chiusura Rapporto;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.DATA_CHIUSURA_RAPPORTO
Posizione.dettagli.rapporti.elenco.Nessun rapporto;POSIZIONE.DETTAGLI.RAPPORTI.ELENCO.NESSUN_RAPPORTO
Posizione.dettagli.rapporti.finanziamenti dettaglio.Elenco.Dati generali;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.DATI_GENERALI
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Codice Rapporto;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.CODICE_RAPPORTO
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Stato Finanziamento;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.STATO_FINANZIAMENTO
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Sec/Unsec  ;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.SEC_UNSEC
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Flag Pool;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.FLAG_POOL
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.GBV;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.GBV
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Etichetta importo;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.ETICHETTA_IMPORTO
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.GBV del Finanziamento;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.GBV_DEL_FINANZIAMENTO
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Di cui Scaduto Impagato;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DI_CUI_SCADUTO_IMPAGATO
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Di cui Quota Capitale;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.DI_CUI_QUOTA_CAPITALE
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Di cui quota di Interessi Corrispettivi;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.DI_CUI_QUOTA_DI_INTERESSI_CORRISPETTIVI
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Di cui Capitale a Scadere;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DI_CUI_CAPITALE_A_SCADERE
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Di Cui Mora;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.DI_CUI_MORA
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Di cui rateo a interessi corrispettivi  ;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DI_CUI_RATEO_A_INTERESSI_CORRISPETTIVI
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Di cui spese ;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DI_CUI_SPESE
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Altri dati;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.ALTRI_DATI
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Dietimo Interessi Corrispettivi;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DIETIMO_INTERESSI_CORRISPETTIVI
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Dietimo Interessi mora;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.DIETIMO_INTERESSI_MORA
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Acconti versati conto capitale (conto anticipi) ;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.ACCONTI_VERSATI_CONTO_CAPITALE_CONTO_ANTICIPI
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Acconti versati conto interessi (conto anticipi) ;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.ACCONTI_VERSATI_CONTO_INTERESSI_CONTO_ANTICIPI
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Data erogazione;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.DATA_EROGAZIONE
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Ammontare dell’erogazione;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.AMMONTARE_DELL_EROGAZIONE
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Data Scadenza (Migrata);POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DATA_SCADENZA_MIGRATA
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Data Rinegoziazione;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DATA_RINEGOZIAZIONE
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Ammontare rinegozioato;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.AMMONTARE_RINEGOZIOATO
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Data scadenza rinegoziata;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.DATA_SCADENZA_RINEGOZIATA
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Data accollo ;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.DATA_ACCOLLO
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Intestatario originario;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.INTESTATARIO_ORIGINARIO
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Codice mutuo padre;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.CODICE_MUTUO_PADRE
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Caratteristiche;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.CARATTERISTICHE
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Tipologia Tasso;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.TIPOLOGIA_TASSO
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Tipo Piano Dettaglio;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.TIPO_PIANO_DETTAGLIO
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Tasso In Essere;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.TASSO_IN_ESSERE
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Indice;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.INDICE
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Periodicità Rata ;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.PERIODICITA_RATA
Posizione.dettagli.rapporti.finanziamenti dettaglio.elenco.Spread;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.ELENCO.SPREAD
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Data ultima Scadenza Rata;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DATA_ULTIMA_SCADENZA_RATA
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Data prossima scadenza rata ;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DATA_PROSSIMA_SCADENZA_RATA
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Data prossima scadenza rata ;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DATA_PROSSIMA_SCADENZA_RATA
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Data chiusura;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DATA_CHIUSURA
Posizione.dettagli.rapporti.finanziamenti.dettaglio.elenco.Data Della Prima Rata Insoluta;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI.DETTAGLIO.ELENCO.DATA_DELLA_PRIMA_RATA_INSOLUTA
Posizione.dettagli.rapporti.finanziamenti dettaglio.azioni.chiudi;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.AZIONI.CHIUDI
Posizione.dettagli.rapporti.finanziamenti dettaglio.titolo;POSIZIONE.DETTAGLI.RAPPORTI.FINANZIAMENTI_DETTAGLIO.TITOLO
Posizione.dettagli.rapporti.dettaglio sofferenze rapporti.titolo;POSIZIONE.DETTAGLI.RAPPORTI.DETTAGLIO_SOFFERENZE_RAPPORTI.TITOLO
Posizione.dettagli.rapporti.dettaglio sofferenze rapporti.elenco.Tipo Rapporto originario;POSIZIONE.DETTAGLI.RAPPORTI.DETTAGLIO_SOFFERENZE_RAPPORTI.ELENCO.TIPO_RAPPORTO_ORIGINARIO
Posizione.dettagli.rapporti.dettaglio sofferenze rapporti.elenco.N rapporto sofferenza;POSIZIONE.DETTAGLI.RAPPORTI.DETTAGLIO_SOFFERENZE_RAPPORTI.ELENCO.N_RAPPORTO_SOFFERENZA
Posizione.dettagli.rapporti.dettaglio sofferenze rapporti.elenco.rapporto originario;POSIZIONE.DETTAGLI.RAPPORTI.DETTAGLIO_SOFFERENZE_RAPPORTI.ELENCO.RAPPORTO_ORIGINARIO
Posizione.dettagli.rapporti.dettaglio sofferenze rapporti.elenco.GBV;POSIZIONE.DETTAGLI.RAPPORTI.DETTAGLIO_SOFFERENZE_RAPPORTI.ELENCO.GBV
Posizione.dettagli.rapporti.dettaglio sofferenze rapporti.elenco.quota capitale;POSIZIONE.DETTAGLI.RAPPORTI.DETTAGLIO_SOFFERENZE_RAPPORTI.ELENCO.QUOTA_CAPITALE
Posizione.dettagli.rapporti.dettaglio sofferenze rapporti.elenco.quota mora;POSIZIONE.DETTAGLI.RAPPORTI.DETTAGLIO_SOFFERENZE_RAPPORTI.ELENCO.QUOTA_MORA
Posizione.dettagli.rapporti.dettaglio sofferenze rapporti.elenco.spese;POSIZIONE.DETTAGLI.RAPPORTI.DETTAGLIO_SOFFERENZE_RAPPORTI.ELENCO.SPESE
Posizione.dettagli.rapporti.dettaglio sofferenze rapporti.elenco.tasso di mora;POSIZIONE.DETTAGLI.RAPPORTI.DETTAGLIO_SOFFERENZE_RAPPORTI.ELENCO.TASSO_DI_MORA
Posizione.Sintesi.Dati Assegnazione.elenco.Gestore Di Riferimento;POSIZIONE.SINTESI.DATI_ASSEGNAZIONE.ELENCO.GESTORE_DI_RIFERIMENTO
Posizione.Sintesi.Dati Assegnazione.elenco.Stato assegnazione;POSIZIONE.SINTESI.DATI_ASSEGNAZIONE.ELENCO.STATO_ASSEGNAZIONE
Posizione.Sintesi.Dati Assegnazione.elenco.Unità organizzativa assegnataria;POSIZIONE.SINTESI.DATI_ASSEGNAZIONE.ELENCO.UNITA_ORGANIZZATIVA_ASSEGNATARIA
Posizione.Sintesi.Dati Assegnazione.Titolo;POSIZIONE.SINTESI.DATI_ASSEGNAZIONE.TITOLO
Posizione.Sintesi.Dati Di Sintesi.elenco.Causale di chiusura posizione in caso di UTP;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.CAUSALE_DI_CHIUSURA_POSIZIONE_IN_CASO_DI_UTP
Posizione.Sintesi.Dati Di Sintesi.elenco.Contenzioso;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.CONTENZIOSO
Posizione.Sintesi.Dati Di Sintesi.elenco.Data Chiusura Attesa;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.DATA_CHIUSURA_ATTESA
Posizione.Sintesi.Dati Di Sintesi.elenco.Data Chiusura Posizione;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.DATA_CHIUSURA_POSIZIONE
Posizione.Sintesi.Dati Di Sintesi.elenco.Data Ingresso Stato;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.DATA_INGRESSO_STATO
Posizione.Sintesi.Dati Di Sintesi.elenco.Flag presenza Pool;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.FLAG_PRESENZA_POOL
Posizione.Sintesi.Dati Di Sintesi.elenco.Flag Servicing Bank;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.FLAG_SERVICING_BANK
Posizione.Sintesi.GBV.Titolo;POSIZIONE.SINTESI.GBV.TITOLO
Posizione.Sintesi.GBV.elenco.GBV SEC;POSIZIONE.SINTESI.GBV.ELENCO.GBV_SEC
Posizione.Sintesi.GBV.elenco.GBV Tot;POSIZIONE.SINTESI.GBV.ELENCO.GBV_TOT
Posizione.Sintesi.GBV.elenco.GBV UNSEC;POSIZIONE.SINTESI.GBV.ELENCO.GBV_UNSEC
Posizione.Sintesi.GBV.Azioni.vedi dettaglio;POSIZIONE.SINTESI.GBV.AZIONI.VEDI_DETTAGLIO
Posizione.Sintesi.GBV.Azioni.vedi meno;POSIZIONE.SINTESI.GBV.AZIONI.VEDI_MENO
Posizione.Sintesi.Dati Di Sintesi.elenco.NDG di provenienza;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.NDG_DI_PROVENIENZA
Posizione.Sintesi.Dati Di Sintesi.elenco.SoW;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.SO_W
Posizione.Sintesi.Dati Di Sintesi.elenco.Stato Rischio;POSIZIONE.SINTESI.DATI_DI_SINTESI.ELENCO.STATO_RISCHIO
Posizione.Sintesi.Dati Di Sintesi.Titolo;POSIZIONE.SINTESI.DATI_DI_SINTESI.TITOLO
Posizione.Sintesi.Dati Gestionali.elenco.Gruppo Economico;POSIZIONE.SINTESI.DATI_GESTIONALI.ELENCO.GRUPPO_ECONOMICO
Posizione.Sintesi.Dati Gestionali.elenco.Industry;POSIZIONE.SINTESI.DATI_GESTIONALI.ELENCO.INDUSTRY
Posizione.Sintesi.Dati Gestionali.elenco.Strategia UW;POSIZIONE.SINTESI.DATI_GESTIONALI.ELENCO.STRATEGIA_UW
Posizione.Sintesi.Dati Gestionali.Titolo;POSIZIONE.SINTESI.DATI_GESTIONALI.TITOLO
Posizione.Sintesi.Stato Posizione.Titolo;POSIZIONE.SINTESI.STATO_POSIZIONE.TITOLO
Posizione.Sintesi.Stato Posizione.Nessuno Stato;POSIZIONE.SINTESI.STATO_POSIZIONE.NESSUNO_STATO
Posizione.Sintesi.GBV.Storico.Evento Cut off;POSIZIONE.SINTESI.GBV.STORICO.EVENTO_CUT_OFF
Posizione.Sintesi.GBV.Storico.Evento Migrazione;POSIZIONE.SINTESI.GBV.STORICO.EVENTO_MIGRAZIONE
Posizione.Sintesi.GBV.Storico.GBV totale;POSIZIONE.SINTESI.GBV.STORICO.GBV_TOTALE
Posizione.Sintesi.GBV.Storico.Di cui Secured;POSIZIONE.SINTESI.GBV.STORICO.DI_CUI_SECURED
Posizione.Sintesi.GBV.Storico.Di cui Unsecured;POSIZIONE.SINTESI.GBV.STORICO.DI_CUI_UNSECURED
Posizione.Sintesi.GBV.Storico.Di cui facility receivable;POSIZIONE.SINTESI.GBV.STORICO.DI_CUI_FACILITY_RECEIVABLE
Posizione.Sintesi.GBV.Storico.Di cui leasing;POSIZIONE.SINTESI.GBV.STORICO.DI_CUI_LEASING
Posizione.Sintesi.GBV.Storico.Di cui revolving bank;POSIZIONE.SINTESI.GBV.STORICO.DI_CUI_REVOLVING_BANK
Posizione.dettagli.Immobili.elenco.nessun immobile;POSIZIONE.DETTAGLI.IMMOBILI.ELENCO.NESSUN_IMMOBILE
Posizione.dettagli.Immobili.elenco.Codice immobile;POSIZIONE.DETTAGLI.IMMOBILI.ELENCO.CODICE_IMMOBILE
Posizione.dettagli.Immobili.elenco.Codice dossier;POSIZIONE.DETTAGLI.IMMOBILI.ELENCO.CODICE_DOSSIER
Posizione.dettagli.Immobili.elenco.Immobile residenziale non residenziale;POSIZIONE.DETTAGLI.IMMOBILI.ELENCO.IMMOBILE_RESIDENZIALE_NON_RESIDENZIALE
Posizione.dettagli.Immobili.elenco.Tipologia immobile;POSIZIONE.DETTAGLI.IMMOBILI.ELENCO.TIPOLOGIA_IMMOBILE
Posizione.dettagli.Immobili.elenco.Tipo perizia;POSIZIONE.DETTAGLI.IMMOBILI.ELENCO.TIPO_PERIZIA
Posizione.dettagli.Immobili.elenco.Valore di stima/perizia;POSIZIONE.DETTAGLI.IMMOBILI.ELENCO.VALORE_DI_STIMA_PERIZIA
Posizione.dettagli.Immobili.elenco.Data ultima stima/perizia;POSIZIONE.DETTAGLI.IMMOBILI.ELENCO.DATA_ULTIMA_STIMA_PERIZIA
Posizione.dettagli.Immobili.elenco.Indirizzo immobile;POSIZIONE.DETTAGLI.IMMOBILI.ELENCO.INDIRIZZO_IMMOBILE
