Posizione.Titolo;POSIZIONE.TITOLO
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Titolo;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.TITOLO
Posizione.Dettagli.Anagrafica.Controparti.Sezione controparte.Elenco.Codice Fiscale;POSIZIONE.DETTAGLI.ANAGRAFICA.CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.CODICE_FISCALE
Posizione.Dettagli.Anagrafica.Controparti.Sezione controparte.Elenco.Partita IVA;POSIZIONE.DETTAGLI.ANAGRAFICA.CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.PARTITA_IVA
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.ATECO;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.ATECO
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Data Di Nascita;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.DATA_DI_NASCITA
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Data Costituzione;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.DATA_COSTITUZIONE
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Data Iscrizione Camera Di Commercio;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.DATA_ISCRIZIONE_CAMERA_DI_COMMERCIO
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Email;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.EMAIL
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Indirizzo Domicilio;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.INDIRIZZO_DOMICILIO
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Indirizzo Sede legale ;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.INDIRIZZO_SEDE_LEGALE
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Indirizzo Sede operativa;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.INDIRIZZO_SEDE_OPERATIVA
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Luogo e Provincia di nascita;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.LUOGO_E_PROVINCIA_DI_NASCITA
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Natura giuridica ;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.NATURA_GIURIDICA
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Nazionalità;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.NAZIONALITA
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.NDG;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.NDG
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.NDG di provenienza;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.NDG_DI_PROVENIENZA
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Num Camera Di Commercio e Prov Camera Di Commercio;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.NUM_CAMERA_DI_COMMERCIO_E_PROV_CAMERA_DI_COMMERCIO
